ID,try,rounds,dig_seq,mis_ind
1,1,r1,359,0
1,1,r2,3189,0
1,1,r3,09518,0
1,1,r4,215473,0
1,1,r5,3509246,6
1,2,r5,4120836,1
2,1,r1,148,0
2,1,r2,9526,0
2,1,r3,87305,0
2,1,r4,925186,0
2,1,r5,0215497,0
2,1,r6,38925714,0
2,1,r7,796843102,0
2,1,r8,9402573186,2
2,2,r8,6248950137,1
3,1,r1,735,0
3,1,r2,7086,0
3,1,r3,64780,0
3,1,r4,802634,0
3,1,r5,6320591,0
3,1,r6,17692534,0
3,1,r7,879652031,6
3,2,r7,390482165,8
4,1,r1,245,0
4,1,r2,4871,0
4,1,r3,30287,4
4,2,r3,86214,4
5,1,r1,801,1
5,2,r1,950,1
6,1,r1,398,0
6,1,r2,9610,0
6,1,r3,36895,0
6,1,r4,937426,0
6,1,r5,0438612,1
6,2,r5,4378125,0
6,1,r6,34287195,2
6,2,r6,64520189,0
6,1,r7,345268071,4
6,2,r7,927410538,3
7,1,r1,921,0
7,1,r2,2379,0
7,1,r3,06382,2
7,2,r3,57912,0
7,1,r4,623514,0
7,1,r5,1365204,2
7,2,r5,2178450,0
7,1,r6,41925370,4
7,2,r6,23174069,2
8,1,r1,180,0
8,1,r2,0831,0
8,1,r3,52971,0
8,1,r4,356189,0
8,1,r5,7580123,0
8,1,r6,16089723,0
8,1,r7,748931520,6
8,2,r7,365897401,2
